created_user,created_date,last_edited_user,last_edited_date,Type,Size,OBJECTID2,POINT_X,POINT_Y,POINT_Z
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,2.000000000000000,1.000000000000000,2.000000000000000,93478.793916977534536,435864.516908020828851,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,2.000000000000000,2.000000000000000,3.000000000000000,93074.589583255583420,435713.223360479110852,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,2.000000000000000,2.000000000000000,4.000000000000000,93764.767703469347907,435780.958290566049982,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,0.000000000000000,0.000000000000000,5.000000000000000,93764.767703469347907,435100.958290566049982,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
TESSEL.KAAL,4/10/2024 9:09:27,TESSEL.KAAL,4/12/2024 7:27:58,3.000000000000000,1.000000000000000,1.000000000000000,93291.342483171727508,435880.605403143970761,0.000000000000000
